KUIL	QUILLAYUTE STATE AIRPORT	WA	47-56N	124-34W
KDPG	Dugway Proving Grounds	UT	40-10N	112-56W
KNOW	Port Angeles Coast Guard Air Station	WA	48-08N	123-24W
KTCM	Tacoma / McChord Air Force Base	WA	47-09N	122-29W
KGRF	Fort Lewis / Gray U. S. Army Airfield	WA	47-07N	122-33W
KMLS	MILES CITY WILEY FIELD	MT	46-26N	105-53W
K3RN	Graying Air Force Range	MI	44-50N	084-33W
KGTB	Fort Drum / Wheeler-Sack U. S. Army Airfield	NY	44-03N	075-44W
KNHZ	BRUNSWICK NAVAL AIR STN	ME	43-54N	69-56W
KU67	Roosevelt	UT	40-18N	109-59W
KMMO	Marseilles Island	IL	41-22N	088-41W
KJFK	KENNEDY INTERNATIONAL AIRPORT 	NY	40-38N	073-46W
KBED	BEDFORD HANSCOM FIELD	MA	42-28N	071-18W
KCEF	Chicopee Falls / Westover Air Force Base	MA	42-12N	072-32W
KCHH	Chatham	MA	41-40N	069-58W
KNGZ	Alameda Naval Air Station	CA	37-47N	122-19W
KNUQ	MOFFETT FIELD	CA	37-26N	122-03W
KSUU	Fairfield / Travis Air Force Base	CA	38-16N	121-57W
KAFF	Air Force Academy	CO	38-58N	104-49W
KPTT	Pratt Municipal	KS	37-42N	098-45W
KFFO	Dayton / Wright-Patterson Air Force Base	OH	39-50N	084-03W
KN78	Barnegat Coast Guard Station	NJ	39-46N	074-06W
KADW	Camp Springs / Andrews Air Force Base	MD	38-49N	076-51W
KW30	Ocean City	MD	38-20N	075-05W
KLFI	Langley Air Force Base	VA	37-05N	076-21W
KBYS	Fort Irwin/Barstow, Bicycle Lake Army Airfield	CA	35-17N	116-37W
KNID	NAWS CHINA LAKE	CA	35-41N	117-42W
KINS	Indian Springs, Indian Springs Auxiliary AFLD Nellis AFB	NV	36-35N	115-40W
K4CB	Cuddleback Gunnery Range	CA	35-16N	117-26W
K4SU	Superior Valley Gunnery Range	CA	36-20N	117-06W
K4MR	Melrose Gunnery Range	NM	34-18N	103-48W
KWWR	Woodward, West Woodward Airport	OK	36-26-12N	099-31-16W
KH92	Hominy Municipal	OK	36-26N	096-23W
KF10	Henryetta Municipal	OK	35-24N	096-01W
KF30	Sulphur Municipal	OK	34-31N	096-59W
KHOP	Fort Campbell U. S. Army Airfield	KY	36-40N	087-30W
KFBG	Fort Bragg / Simmons Army Airfield	NC	35-08N	078-56W
K2DP	Dare County Gunnery Range	NC	35-40N	075-54W
K44W	Diamond Shoals Coast Guard Station	NC	35-09N	075-18W
KNLC	LEMOORE NAVAL AIR STATION	CA	36-20N	119-57W
KGBN	Gila Bend U. S. Army Airfield	AZ	32-26N	112-41W
KP07	Sanderson	TX	30-10N	102-25W
KHMN	Holloman Air Force Base	NM	32-51N	106-06W
KE28	Northrup Landing Strip	NM	33-54N	106-24W
KJCT	KIMBLE COUNTY AIRPORT	TX	30-31N	099-46W
KAEX	ALEXANDRIA INTERNATIONAL AIRPORT	LA	31-33N	092-56W
K01R	Claiborne Range, Airways Facilities Sector 	LA	31-08N	092-34W
KPAM	Tyndall Air Force Base	FL	30-04N	085-35W
KHRT	Hurlburt Field	FL	30-25N	086-41W
KVAD	Moody Air Force Base	GA	30-58N	083-12W
KMCF	Macdill Air Force Base, Fl.	FL	27-51N	082-30W
KSSC	Shaw Air Force Base	SC	33-58N	080-29W
KMYR	Myrtle Beach Air Force Base	SC	33-41N	078-56W
K2PJ	Poinsett Range, Sumpter	SC	33-51N	080-29W
KXMR	Cocoa Beach, Cape Canaveral Air Force Station Skid Strip	FL	28-28N	080-34W
KCOF	Cocoa / Patrick Air Force Base	FL	28-14N	080-36W
KAGR	Avon Park Gunnery Range	FL	27-39N	081-20W
KQHA	FOB Mandrian	CU	19-40N	072-62W
